date,team1,team2,team1_score,team2_score,spreads_json
20061031,Chicago,Miami,108,66,"{""19"": [""+4.5 -110"", ""-4.5 -110""], ""93"": [""+4.5 -110"", ""-4.5 -110""], ""238"": [""+4.5 -110"", ""-4.5 +100""]}"
20061031,Phoenix,L.A. Lakers,106,114,"{""19"": [""-8 -110"", ""+8 -110""], ""93"": [""-8 -110"", ""+8 -110""], ""238"": [""-8 +100"", ""+8 -110""]}"
20061101,Toronto,Brooklyn,92,102,"{""19"": [""+7 -110"", ""-7 -110""], ""93"": [""+7.5 -110"", ""-7.5 -110""], ""238"": [""+7 -105"", ""-7 -105""]}"
20061101,L.A. Lakers,Golden State,110,98,"{""19"": [""+7.5 -110"", ""-7.5 -110""], ""93"": [""+7.5 -110"", ""-7.5 -110""], ""238"": [""+7 +103"", ""-7 -113""]}"
20061101,L.A. Clippers,Phoenix,104,112,"{""19"": [""+4.5 -110"", ""-4.5 -110""], ""93"": [""+4.5 -110"", ""-4.5 -110""], ""238"": [""+4.5 -108"", ""-4.5 -102""]}"
20061101,Washington,Cleveland,94,97,"{""19"": [""+6 -110"", ""-6 -110""], ""93"": [""+6 -110"", ""-6 -110""], ""238"": [""+6 -103"", ""-6 -107""]}"
20061101,Atlanta,Philadelphia,75,88,"{""19"": [""+5.5 -110"", ""-5.5 -110""], ""93"": [""+5.5 -110"", ""-5.5 -110""], ""238"": [""+5.5 -102"", ""-5.5 -108""]}"
20061101,Milwaukee,Detroit,105,97,"{""19"": [""+6.5 -110"", ""-6.5 -110""], ""93"": [""+6.5 -110"", ""-6.5 -110""], ""238"": [""+6.5 -110"", ""-6.5 +100""]}"
20061101,Indiana,Charlotte,106,99,"{""19"": [""-1 -110"", ""+1 -110""], ""93"": [""-1 -110"", ""+1 -110""], ""238"": [""-1 -102"", ""+1 -108""]}"
20061101,Sacramento,Minnesota,83,92,"{""19"": [""+5 -110"", ""-5 -110""], ""93"": [""+4 -110"", ""-4 -110""], ""238"": [""+5 -102"", ""-5 -108""]}"
20061101,New Orleans,Boston,91,87,"{""19"": [""+3 -110"", ""-3 -110""], ""93"": [""+3 -110"", ""-3 -110""], ""238"": [""+3 -105"", ""-3 -105""]}"
20061101,New York,Memphis,89,89,"{""19"": [""+4.5 -110"", ""-4.5 -110""], ""93"": [""+5 -110"", ""-5 -110""], ""238"": [""+5 -101"", ""-5 -109""]}"
20061101,Houston,Utah,97,107,"{""19"": [""-1.5 -110"", ""+1.5 -110""], ""93"": [""-1.5 -110"", ""+1.5 -110""], ""238"": [""-1.5 -111"", ""+1.5 +101""]}"
20061101,Chicago,Orlando,94,109,"{""19"": [""-1.5 -110"", ""+1.5 -110""], ""93"": [""-1 -110"", ""+1 -110""], ""238"": [""-1.5 -107"", ""+1.5 -103""]}"
20061102,San Antonio,Dallas,97,91,"{""19"": [""+2.5 -110"", ""-2.5 -110""], ""93"": [""+2.5 -110"", ""-2.5 -110""], ""238"": [""+2.5 -103"", ""-2.5 -107""]}"
20061102,Denver,L.A. Clippers,95,96,"{""19"": [""+4 -110"", ""-4 -110""], ""93"": [""+4.5 -110"", ""-4.5 -110""], ""238"": [""+4 -104"", ""-4 -106""]}"
20061103,Detroit,Boston,101,88,"{""19"": [""-1.5 -110"", ""+1.5 -110""], ""93"": [""-1.5 -110"", ""+1.5 -110""], ""238"": [""-1.5 -102"", ""+1.5 -108""]}"
20061103,Milwaukee,Toronto,92,109,"{""19"": [""-1 -110"", ""+1 -110""], ""93"": [""-1 -110"", ""+1 -110""], ""238"": [""-1 -109"", ""+1 -101""]}"
20061103,Utah,Phoenix,108,104,"{""19"": [""+7.5 -110"", ""-7.5 -110""], ""93"": [""+7.5 -110"", ""-7.5 -110""], ""238"": [""+7.5 -102"", ""-7.5 -108""]}"
20061103,New Orleans,Indiana,100,91,"{""19"": [""+4 -110"", ""-4 -110""], ""93"": [""+4.5 -110"", ""-4.5 -110""], ""238"": [""+4 -107"", ""-4 -103""]}"
20061103,Minnesota,Denver,112,109,"{""19"": [""+5.5 -110"", ""-5.5 -110""], ""93"": [""+5 -110"", ""-5 -110""], ""238"": [""+5 -107"", ""-5 -103""]}"
20061103,Brooklyn,Miami,85,91,"{""19"": [""+4.5 -110"", ""-4.5 -110""], ""93"": [""+4 -110"", ""-4 -110""], ""238"": [""+4.5 +102"", ""-4.5 -112""]}"
20061103,Cleveland,San Antonio,88,81,"{""19"": [""+5.5 -110"", ""-5.5 -110""], ""93"": [""+5.5 -110"", ""-5.5 -110""], ""238"": [""+5.5 -115"", ""-5.5 +105""]}"
20061103,New York,Atlanta,92,102,"{""19"": [""+3 -110"", ""-3 -110""], ""93"": [""+3 -110"", ""-3 -110""], ""238"": [""+2.5 +102"", ""-2.5 -112""]}"
20061103,Philadelphia,Orlando,105,103,"{""19"": [""+5 -110"", ""-5 -110""], ""93"": [""+5.5 -110"", ""-5.5 -110""], ""238"": [""+5 -104"", ""-5 -106""]}"
20061103,Sacramento,Chicago,89,88,"{""19"": [""+5.5 -110"", ""-5.5 -110""], ""93"": [""+5.5 -110"", ""-5.5 -110""], ""238"": [""+5.5 -111"", ""-5.5 +101""]}"
20061103,Portland,Golden State,89,102,"{""19"": [""+9.5 -110"", ""-9.5 -110""], ""93"": [""+9.5 -110"", ""-9.5 -110""], ""238"": [""+9.5 -102"", ""-9.5 -108""]}"
20061103,Charlotte,Memphis,83,96,"{""19"": [""+5 -110"", ""-5 -110""], ""93"": [""+4 -110"", ""-4 -110""], ""238"": [""+5 -113"", ""-5 +103""]}"
20061104,Boston,Washington,117,124,"{""19"": [""+7 -110"", ""-7 -110""], ""93"": [""+7 -110"", ""-7 -110""], ""238"": [""+7 -102"", ""-7 -108""]}"
20061104,Dallas,Houston,76,107,"{""19"": [""-1.5 -110"", ""+1.5 -110""], ""93"": [""-2 -110"", ""+2 -110""], ""238"": [""-2 +102"", ""+2 -112""]}"
20061104,Memphis,Detroit,86,95,"{""19"": [""+8 -110"", ""-8 -110""], ""93"": [""+8 -110"", ""-8 -110""], ""238"": [""+8 -106"", ""-8 -104""]}"
20061104,Golden State,Utah,82,106,"{""19"": [""+6.5 -110"", ""-6.5 -110""], ""93"": [""+6 -110"", ""-6 -110""], ""238"": [""+6 +102"", ""-6 -112""]}"
20061104,Cleveland,Charlotte,88,92,"{""19"": [""-4 -110"", ""+4 -110""], ""93"": [""-4 -110"", ""+4 -110""], ""238"": [""-4 -102"", ""+4 -108""]}"
20061104,Phoenix,L.A. Clippers,108,114,"{""19"": [""+4.5 -110"", ""-4.5 -110""], ""93"": [""+4 -110"", ""-4 -110""], ""238"": [""+4 +105"", ""-4 -115""]}"
20061104,Minnesota,Portland,86,88,"{""19"": [""-3.5 -110"", ""+3.5 -110""], ""93"": [""-3.5 -110"", ""+3.5 -110""], ""238"": [""-3.5 -101"", ""+3.5 -109""]}"
20061104,Sacramento,Milwaukee,91,104,"{""19"": [""+3 -110"", ""-3 -110""], ""93"": [""+2.5 -110"", ""-2.5 -110""], ""238"": [""+3 -112"", ""-3 +102""]}"
20061104,Indiana,New York,109,95,"{""19"": [""-3.5 -110"", ""+3.5 -110""], ""93"": [""-3 -110"", ""+3 -110""], ""238"": [""-3 -111"", ""+3 +101""]}"
20061105,Houston,New Orleans,90,96,"{""19"": [""+1 -110"", ""-1 -110""], ""93"": [""+1 -110"", ""-1 -110""], ""238"": [""+1.5 -114"", ""-1.5 +104""]}"
20061105,Orlando,Atlanta,82,95,"{""19"": [""-3.5 -110"", ""+3.5 -110""], ""93"": [""-4 -110"", ""+4 -110""], ""238"": [""-3.5 +101"", ""+3.5 -111""]}"
20061105,San Antonio,Toronto,103,94,"{""19"": [""-6 -110"", ""+6 -110""], ""93"": [""-6.5 -110"", ""+6.5 -110""], ""238"": [""-6.5 -101"", ""+6.5 -109""]}"
20061105,Miami,Philadelphia,98,107,"{""19"": [""-2.5 -110"", ""+2.5 -110""], ""93"": [""-2.5 -110"", ""+2.5 -110""], ""238"": [""-3 +101"", ""+3 -111""]}"
20061106,Portland,L.A. Clippers,89,102,"{""19"": [""+11 -110"", ""-11 -110""], ""93"": [""+11 -110"", ""-11 -110""], ""238"": [""+11 +100"", ""-11 -110""]}"
